Name,Address,Featured image,Bing Maps URL,Latitude,Longitude,Website,Phone,Emails,Social Medias,Facebook,Instagram,Twitter
Kommune Gruft,Sankt-Peter-Bezirk · 5020 Salzburg,https://www.bing.com/th?id=OLC.VlXfOCxeNGp9bA480x360&pid=Local,https://www.bing.com/maps?cp=47.79655838012695%7E13.04563045501709&lvl=17.0&q=Kommune%20Gruft%20%2C%20Sankt-Peter-Bezirk%20%C2%B7%205020%20Salzburg,47.79655838012695,13.04563045501709,http://www.erzabtei.at/de/katakomben/index.asp?dat=Katakomben,,forstbetrieb@erzabtei.at,,,,
Herbert von Karajan - Statue,"Josef-Friedrich-Hummel-Strasse 1, Vor dem Miethaus, Wohn- und Geschaeftshaus · 5020 Salzburg",https://www.bing.com/th?id=OLC.l6cBP6TCn3y38A480x360&pid=Local,https://www.bing.com/maps?cp=47.8025016784668%7E13.042619705200195&lvl=17.0&q=Herbert%20von%20Karajan%20-%20Statue%20%2C%20Josef-Friedrich-Hummel-Strasse%201%2C%20Vor%20dem%20Miethaus%2C%20Wohn-%20und%20Geschaeftshaus%20%C2%B7%205020%20Salzburg,47.8025016784668,13.042619705200195,,,,,,,
Hommage to Mozart Sculpture,"Ursulinenplatz, 5020 Salzburg Salzburg",https://www.bing.com/th?id=OLC.GalYLou7xCSiyg480x360&pid=Local,https://www.bing.com/maps?cp=47.80221939086914%7E13.038410186767578&lvl=17.0&q=Hommage%20to%20Mozart%20Sculpture%20%2C%20Ursulinenplatz%2C%205020%20Salzburg%20Salzburg,47.80221939086914,13.038410186767578,https://www.atlasobscura.com/places/hommage-to-mozart,,info@salzburg.info,"{""youtube"":""https://www.youtube.com/user/atlasobscura"",""facebook"":""https://www.facebook.com/atlasobscura/"",""instagram"":""https://www.instagram.com/atlasobscura/"",""twitter"":""https://twitter.com/atlasobscura"",""pinterest"":""https://www.pinterest.com/atlasobscura/_saved/""}",https://www.facebook.com/atlasobscura/,https://www.instagram.com/atlasobscura/,https://twitter.com/atlasobscura
Residenzbrunnen,Residenzplatz Salzburg,https://www.bing.com/th?id=OLC.yzs3NePulvGQOg480x360&pid=Local,https://www.bing.com/maps?cp=47.7983283996582%7E13.045610427856445&lvl=17.0&q=Residenzbrunnen%20%2C%20Residenzplatz%20Salzburg,47.7983283996582,13.045610427856445,https://www.salzburg.info/en/sights/squares-streets/residenzplatz,,"tourist@salzburg.info,presse@salzburg.info,marketing@salzburg.info,digital-media@salzburg.info,privacy@salzburg.info","{""facebook"":""https://www.facebook.com/policy.php"",""youtube"":""https://www.youtube.com/user/salzburginfo"",""instagram"":""https://instagram.com/about/legal/privacy/"",""twitter"":""https://twitter.com/de/privacy"",""pinterest"":""https://policy.pinterest.com/en/privacy-policy""}",https://www.facebook.com/policy.php,https://instagram.com/about/legal/privacy/,https://twitter.com/de/privacy
Tourist Information,"Suedtiroler Platz 1, Hauptbahnhof · 5020 Salzburg",https://www.bing.com/th?id=OLC.OJehfK9JO+C1RA480x360&pid=Local,https://www.bing.com/maps?cp=47.81351852416992%7E13.04510498046875&lvl=17.0&q=Tourist%20Information%20%2C%20Suedtiroler%20Platz%201%2C%20Hauptbahnhof%20%C2%B7%205020%20Salzburg,47.81351852416992,13.04510498046875,https://www.salzburg.info/en/travel-info/tourist-information/tourist-info-salzburg-main-station,0662 88987340,"tourist@salzburg.info,presse@salzburg.info,marketing@salzburg.info,digital-media@salzburg.info,privacy@salzburg.info","{""facebook"":""https://www.facebook.com/policy.php"",""youtube"":""https://www.youtube.com/user/salzburginfo"",""instagram"":""https://instagram.com/about/legal/privacy/"",""twitter"":""https://twitter.com/de/privacy"",""pinterest"":""https://policy.pinterest.com/en/privacy-policy""}",https://www.facebook.com/policy.php,https://instagram.com/about/legal/privacy/,https://twitter.com/de/privacy
Schloss Freisaal,Freisaalweg 31 · 5020 Salzburg,https://www.bing.com/th?id=OLC.HQgh8vt5hvY0KA480x360&pid=Local,https://www.bing.com/maps?cp=47.78709030151367%7E13.057379722595215&lvl=17.0&q=Schloss%20Freisaal%20%2C%20Freisaalweg%2031%20%C2%B7%205020%20Salzburg,47.78709030151367,13.057379722595215,http://www.salzburg-rundgang.at/sehenswuerdigkeiten/burgen_und_schloesser/schloss_freisaal,0662 80420,,"{""facebook"":""https://www.facebook.com/vividplanet/"",""instagram"":""https://www.instagram.com/vividplanetsoftware/"",""linkedin"":""https://www.linkedin.com/company/vivid-planet-software-gmbh/""}",https://www.facebook.com/vividplanet/,https://www.instagram.com/vividplanetsoftware/,
Kaipromenade,Makartsteg · 5020 Salzburg,,https://www.bing.com/maps?cp=47.801780700683594%7E13.042149543762207&lvl=17.0&q=Kaipromenade%20%2C%20Makartsteg%20%C2%B7%205020%20Salzburg,47.801780700683594,13.042149543762207,,,,,,,
Atelier Thomas Selinger,Auerspergstraße 45 · 5020 Salzburg,https://www.bing.com/th?id=OLC.1Cw185ODAV20Ww480x360&pid=Local,https://www.bing.com/maps?cp=47.807613372802734%7E13.047500610351562&lvl=17.0&q=Atelier%20Thomas%20Selinger%20%2C%20Auerspergstra%C3%9Fe%2045%20%C2%B7%205020%20Salzburg,47.807613372802734,13.047500610351562,https://www.seli.at/,0676 5854902,seli@seli.at,,,,
Museum der Moderne Salzburg,"Wiener-Philharmoniker Gasse 9, Salzburg, Salzburg 5020",https://www.bing.com/th?id=OLC.iVYgtAI1LGa2qw480x360&pid=Local,https://www.bing.com/maps?cp=47.79824447631836%7E13.043288230895996&lvl=17.0&q=Museum%20der%20Moderne%20Salzburg%20%2C%20Wiener-Philharmoniker%20Gasse%209%2C%20Salzburg%2C%20Salzburg%205020,47.79824447631836,13.043288230895996,https://www.museumdermoderne.at/,0662 842220,info@salzburg.info,"{""instagram"":""https://www.instagram.com/museumdermodernesalzburg/"",""facebook"":""https://www.facebook.com/museumdermodernesalzburg/"",""linkedin"":""https://at.linkedin.com/company/museum-der-moderne-salzburg"",""youtube"":""https://www.youtube.com/channel/uczkkmh4vfxkrxv3cqgrcasq"",""twitter"":""https://twitter.com/mdmsalzburg""}",https://www.facebook.com/museumdermodernesalzburg/,https://www.instagram.com/museumdermodernesalzburg/,https://twitter.com/mdmsalzburg
Caldera Sculpture,"Makartplatz 7, 5020 Salzburg · 5020 Salzburg",https://www.bing.com/th?id=OLC.skyZSrMgh+DuhA480x360&pid=Local,https://www.bing.com/maps?cp=47.80275344848633%7E13.044096946716309&lvl=17.0&q=Caldera%20Sculpture%20%2C%20Makartplatz%207%2C%205020%20Salzburg%20%C2%B7%205020%20Salzburg,47.80275344848633,13.044096946716309,https://www.salzburg.info/en/b2b/gallery/walk-of-modern-art_image-280686,,"tourist@salzburg.info,marketing@salzburg.info,presse@salzburg.info,digital-media@salzburg.info,privacy@salzburg.info","{""facebook"":""https://www.facebook.com/policy.php"",""youtube"":""https://www.youtube.com/user/salzburginfo"",""instagram"":""https://instagram.com/about/legal/privacy/"",""twitter"":""https://twitter.com/de/privacy"",""pinterest"":""https://policy.pinterest.com/en/privacy-policy""}",https://www.facebook.com/policy.php,https://instagram.com/about/legal/privacy/,https://twitter.com/de/privacy
Gurken,"Max-Reinhardt-Platz, Furtwänglerpark · 5020 Salzburg",https://www.bing.com/th?id=OLC.9EPat+IdKDFphw480x360&pid=Local,https://www.bing.com/maps?cp=47.79825973510742%7E13.04248046875&lvl=17.0&q=Gurken%20%2C%20Max-Reinhardt-Platz%2C%20Furtw%C3%A4nglerpark%20%C2%B7%205020%20Salzburg,47.79825973510742,13.04248046875,https://www.salzburg.info/en/salzburg/creative-salzburg/art-in-public-room/walk-of-modern-art/gurken,,"tourist@salzburg.info,presse@salzburg.info,marketing@salzburg.info,digital-media@salzburg.info,privacy@salzburg.info","{""facebook"":""https://www.facebook.com/policy.php"",""youtube"":""https://www.youtube.com/user/salzburginfo"",""instagram"":""https://instagram.com/about/legal/privacy/"",""twitter"":""https://twitter.com/de/privacy"",""pinterest"":""https://policy.pinterest.com/en/privacy-policy""}",https://www.facebook.com/policy.php,https://instagram.com/about/legal/privacy/,https://twitter.com/de/privacy
Leon Einberger Atelier - Gallery,Mozartplatz 5 · 5020 Salzburg,https://www.bing.com/th?id=OLC.g/dS/5CB+9FlNQ480x360&pid=Local,https://www.bing.com/maps?cp=47.79912185668945%7E13.047900199890137&lvl=17.0&q=Leon%20Einberger%20Atelier%20-%20Gallery%20%2C%20Mozartplatz%205%20%C2%B7%205020%20Salzburg,47.79912185668945,13.047900199890137,https://www.gallery-mozartplatz.com/,0699 11882247,"einbergerleon@hotmail.com,office@salzburg-altstadt.at","{""facebook"":""https://www.facebook.com/galleryeinberger/""}",https://www.facebook.com/galleryeinberger/,,
Katakomben Salzburg,Petersfriedhof Salzburg,https://www.bing.com/th?id=OLC.g31QMesTQ5l41w480x360&pid=Local,https://www.bing.com/maps?cp=47.797019958496094%7E13.044258117675781&lvl=17.0&q=Katakomben%20Salzburg%20%2C%20Petersfriedhof%20Salzburg,47.797019958496094,13.044258117675781,,0662 844576,,,,,
Papagenobrunnen,"Papagenopl., Pfeifergasse · 5020 Salzburg",https://www.bing.com/th?id=OLC.smbnnWCJa3jQCQ480x360&pid=Local,https://www.bing.com/maps?cp=47.79829025268555%7E13.049539566040039&lvl=17.0&q=Papagenobrunnen%20%2C%20Papagenopl.%2C%20Pfeifergasse%20%C2%B7%205020%20Salzburg,47.79829025268555,13.049539566040039,,06543 72880,,"{""youtube"":""https://www.youtube.com/watch?v=haoe7qdz3ao""}",,,
Sigmundstor,Sigmundstor Salzburg,https://www.bing.com/th?id=OLC.YQGj8OxNuyJh6w480x360&pid=Local,https://www.bing.com/maps?cp=47.798370361328125%7E13.039119720458984&lvl=17.0&q=Sigmundstor%20%2C%20Sigmundstor%20Salzburg,47.798370361328125,13.039119720458984,,,,,,,
Traklhaus,Waagplatz 1a · 5020 Salzburg,https://www.bing.com/th?id=OLC.wUnczV7uhswJmA480x360&pid=Local,https://www.bing.com/maps?cp=47.79935836791992%7E13.047220230102539&lvl=17.0&q=Traklhaus%20%2C%20Waagplatz%201a%20%C2%B7%205020%20Salzburg,47.79935836791992,13.047220230102539,https://salzburg.gv.at/themen/kultur/foerdersparten/bildendekunst/traklhaus,0662 80422149,traklhaus@salzburg.gv.at,"{""youtube"":""https://www.youtube.com/watch"",""instagram"":""https://www.instagram.com/land_salzburg"",""facebook"":""https://www.facebook.com/landsalzburg/""}",https://www.facebook.com/landsalzburg/,https://www.instagram.com/land_salzburg,
Domgrabungsmuseum Salzburg,Mozartplatz 1 · 5010 Salzburg,https://www.bing.com/th?id=OLC.HUsZlXdXn2AwSQ480x360&pid=Local,https://www.bing.com/maps?cp=47.79873275756836%7E13.047554016113281&lvl=17.0&q=Domgrabungsmuseum%20Salzburg%20%2C%20Mozartplatz%201%20%C2%B7%205010%20Salzburg,47.79873275756836,13.047554016113281,http://salzburgmuseum.at/,0662 845295,office@salzburgmuseum.at,"{""facebook"":""https://www.facebook.com/salzburg.museum"",""youtube"":""https://www.youtube.com/channel/ucgraq9jpozen5w1ran3t1xq"",""instagram"":""https://www.instagram.com/salzburg_museum"",""twitter"":""https://www.twitter.com/salzburgmuseum""}",https://www.facebook.com/salzburg.museum,https://www.instagram.com/salzburg_museum,https://www.twitter.com/salzburgmuseum
Inneres Steintor,Steingasse 23 · 5020 Salzburg,https://www.bing.com/th?id=OLC.ONdwQ6Wwwq0hNw480x360&pid=Local,https://www.bing.com/maps?cp=47.80107498168945%7E13.046653747558594&lvl=17.0&q=Inneres%20Steintor%20%2C%20Steingasse%2023%20%C2%B7%205020%20Salzburg,47.80107498168945,13.046653747558594,https://www.sn.at/wiki/Inneres_Steintor,,"redaktion@sn.at,service@sn.at","{""facebook"":""https://www.facebook.com/pages/salzburgwiki/118355396728""}",https://www.facebook.com/pages/salzburgwiki/118355396728,,
Gstattentor,"Buergerspitalplatz 1, 5020 Salzburg · 5020 Salzburg",https://www.bing.com/th?id=OLC.me6euAaQq+meig480x360&pid=Local,https://www.bing.com/maps?cp=47.800201416015625%7E13.040329933166504&lvl=17.0&q=Gstattentor%20%2C%20Buergerspitalplatz%201%2C%205020%20Salzburg%20%C2%B7%205020%20Salzburg,47.800201416015625,13.040329933166504,,,,,,,
Gray Line Salzburg Sightseeing Tours,Mirabellplatz 2 · 5020 Salzburg,https://www.bing.com/th?id=OLC.HrKUJu/Trjv0uw480x360&pid=Local,https://www.bing.com/maps?cp=47.80450439453125%7E13.043781280517578&lvl=17.0&q=Gray%20Line%20Salzburg%20Sightseeing%20Tours%20%2C%20Mirabellplatz%202%20%C2%B7%205020%20Salzburg,47.80450439453125,13.043781280517578,https://www.salzburg-sightseeingtours.at/agb/,0662 881616,info@salzburg-sightseeingtours.at,"{""facebook"":""https://www.facebook.com/salzburgsightseeingtours/"",""pinterest"":""https://www.pinterest.at/salzburgsightseeing/"",""instagram"":""https://www.instagram.com/salzburgsightseeing/""}",https://www.facebook.com/salzburgsightseeingtours/,https://www.instagram.com/salzburgsightseeing/,
Basteiweg,Basteiweg · 5020 Salzburg,,https://www.bing.com/maps?cp=47.801490783691406%7E13.049996376037598&lvl=17.0&q=Basteiweg%20%2C%20Basteiweg%20%C2%B7%205020%20Salzburg,47.801490783691406,13.049996376037598,,,,,,,
Salzburg,Kapuzinerberg 6 · 5020 Salzburg,https://www.bing.com/th?id=OLC.e1LfY+TRplv9PA480x360&pid=Local,https://www.bing.com/maps?cp=47.80208206176758%7E13.047148704528809&lvl=17.0&q=Salzburg%20%2C%20Kapuzinerberg%206%20%C2%B7%205020%20Salzburg,47.80208206176758,13.047148704528809,https://www.salzburg.info/de/sehenswertes/kirchen-friedhoefe/kapuzinerkloster,0662 8735630,"info@salzburg.info,kapuzinerberg@stadt-salzburg.at,tourist@salzburg.info","{""facebook"":""https://www.bing.com/alink/link?url=https%3a%2f%2fwww.facebook.com%2fkapuzinerberg.zukunft.freihalten%2f&source=serp-local&h=mp5zzujkdo9olgycryy%2bdocde%2bo2ahsyaytnnssnbng%3d&p=lw_lec&ig=329f5f05476941cf9553e831884e17e0&ypid=yn9002x18060940026877826669"",""youtube"":""https://www.youtube.com/user/salzburginfo"",""instagram"":""https://www.instagram.com/visitsalzburg/""}",https://www.bing.com/alink/link?url=https%3a%2f%2fwww.facebook.com%2fkapuzinerberg.zukunft.freihalten%2f&source=serp-local&h=mp5zzujkdo9olgycryy%2bdocde%2bo2ahsyaytnnssnbng%3d&p=lw_lec&ig=329f5f05476941cf9553e831884e17e0&ypid=yn9002x18060940026877826669,https://www.instagram.com/visitsalzburg/,
Franziskanerkirche,Franziskanergasse / Sigmund Haffner Gasse · 5020 Salzburg,https://www.bing.com/th?id=OLC.waeMbAtWO/6OAw480x360&pid=Local,https://www.bing.com/maps?cp=47.79851150512695%7E13.04417610168457&lvl=17.0&q=Franziskanerkirche%20%2C%20Franziskanergasse%20%2F%20Sigmund%20Haffner%20Gasse%20%C2%B7%205020%20Salzburg,47.79851150512695,13.04417610168457,https://www.salzburg.info/en/sights/churches-cemeteries/franziskanerkirche,0662 843629,"tourist@salzburg.info,presse@salzburg.info,marketing@salzburg.info,digital-media@salzburg.info,privacy@salzburg.info,info@salzburg.info","{""facebook"":""https://www.facebook.com/policy.php"",""youtube"":""https://www.youtube.com/user/salzburginfo"",""instagram"":""https://instagram.com/about/legal/privacy/"",""twitter"":""https://twitter.com/de/privacy"",""pinterest"":""https://policy.pinterest.com/en/privacy-policy"",""yelp"":""https://www.yelp.com/biz/franziskanerkirche-salzburg""}",https://www.facebook.com/policy.php,https://instagram.com/about/legal/privacy/,https://twitter.com/de/privacy
Old City Hall (Altes Rathaus),Kranzlmarkt 1 · 5020 Salzburg,https://www.bing.com/th?id=OLC.7hjDuzZR7Xx1CA480x360&pid=Local,https://www.bing.com/maps?cp=47.80020523071289%7E13.044534683227539&lvl=17.0&q=Old%20City%20Hall%20(Altes%20Rathaus)%20%2C%20Kranzlmarkt%201%20%C2%B7%205020%20Salzburg,47.80020523071289,13.044534683227539,http://www.sarabubna.com/,04359 1335588,"photos@sarabubna.com,info@salzburg.info","{""facebook"":""https://www.facebook.com/sarabubnaphotography/"",""instagram"":""https://www.instagram.com/sara_bubna_/""}",https://www.facebook.com/sarabubnaphotography/,https://www.instagram.com/sara_bubna_/,
Universitätskirche,Universitatspl. Salzburg,https://www.bing.com/th?id=OLC.AoijPuDRqHNUIA480x360&pid=Local,https://www.bing.com/maps?cp=47.799530029296875%7E13.042329788208008&lvl=17.0&q=Universit%C3%A4tskirche%20%2C%20Universitatspl.%20Salzburg,47.799530029296875,13.042329788208008,,0662 84132772,info@salzburg.info,,,,
DomQuartier Salzburg Museum,Mozartplatz 10Postfach/527 · 5010 Salzburg,https://www.bing.com/th?id=OLC.KRQodqjjHrMNqg480x360&pid=Local,https://www.bing.com/maps?cp=47.79872512817383%7E13.048358917236328&lvl=17.0&q=DomQuartier%20Salzburg%20Museum%20%2C%20Mozartplatz%2010Postfach%2F527%20%C2%B7%205010%20Salzburg,47.79872512817383,13.048358917236328,https://www.domquartier.at/,0662 80422109,office@domquartier.at,"{""facebook"":""https://www.facebook.com/domquartier/"",""youtube"":""https://www.youtube.com/channel/ucfwzng_llavdc7jtn6rwssw"",""instagram"":""https://www.instagram.com/domquartier/"",""twitter"":""https://www.twitter.com/omquartier""}",https://www.facebook.com/domquartier/,https://www.instagram.com/domquartier/,https://www.twitter.com/omquartier
Bibelwelt Erlebnismuseum,Plainstrasse 42/A · 5020 Salzburg,https://www.bing.com/th?id=OLC.7xA+94ZAjKlWow480x360&pid=Local,https://www.bing.com/maps?cp=47.814788818359375%7E13.04069995880127&lvl=17.0&q=Bibelwelt%20Erlebnismuseum%20%2C%20Plainstrasse%2042%2FA%20%C2%B7%205020%20Salzburg,47.814788818359375,13.04069995880127,https://bibelwelt.at/,0676 87467080,"bibelwelt.at@gmail.com,info@salzburg.info","{""facebook"":""https://www.facebook.com/bibelwelt/"",""instagram"":""https://www.instagram.com/bibelweltsalzburg/"",""twitter"":""https://twitter.com/bibelwelt_s""}",https://www.facebook.com/bibelwelt/,https://www.instagram.com/bibelweltsalzburg/,https://twitter.com/bibelwelt_s
Walking TOUR,"Schwarzstraße 1, Salzburg, Salzburg 5020",https://www.bing.com/th?id=OLC.AXFNVqfigXjriA480x360&pid=Local,https://www.bing.com/maps?cp=47.80162811279297%7E13.044317245483398&lvl=17.0&q=Walking%20TOUR%20%2C%20Schwarzstra%C3%9Fe%201%2C%20Salzburg%2C%20Salzburg%205020,47.80162811279297,13.044317245483398,https://freewalkingtoursalzburg.com/,0699 17799991,"team@freewalkingtoursalzburg.com,gerhard@freewalkingtoursalzburg.com","{""facebook"":""https://www.facebook.com/kaffeealchemie?lang=en"",""youtube"":""https://www.youtube.com/@freewalkingtoursalzburg"",""instagram"":""https://help.instagram.com/155833707900388""}",https://www.facebook.com/kaffeealchemie?lang=en,https://help.instagram.com/155833707900388,
Margarethen Kapelle,Sankt-Peter-Bezirk · 5020 Salzburg,https://www.bing.com/th?id=OLC.wyF0Z2UIa+V/Sg480x360&pid=Local,https://www.bing.com/maps?cp=47.79655838012695%7E13.04563045501709&lvl=17.0&q=Margarethen%20Kapelle%20%2C%20Sankt-Peter-Bezirk%20%C2%B7%205020%20Salzburg,47.79655838012695,13.04563045501709,http://stift-stpeter.at/de/friedhof/index.asp?dat=Margarethenkapelle,,,,,,
Erhardkirche,Nonntaler Hauptstrasse 11 · 5020 Salzburg,https://www.bing.com/th?id=OLC.a7gbXUpkXiwnVg480x360&pid=Local,https://www.bing.com/maps?cp=47.79545974731445%7E13.052140235900879&lvl=17.0&q=Erhardkirche%20%2C%20Nonntaler%20Hauptstrasse%2011%20%C2%B7%205020%20Salzburg,47.79545974731445,13.052140235900879,http://salzburg-rundgang.at/sehenswuerdigkeiten/kirchen_und_kloester/erhardkirche,0662 843642,museum.service@mozarteum.at,"{""facebook"":""https://www.facebook.com/vividplanet/"",""instagram"":""https://www.instagram.com/vividplanetsoftware/"",""linkedin"":""https://www.linkedin.com/company/vivid-planet-software-gmbh/""}",https://www.facebook.com/vividplanet/,https://www.instagram.com/vividplanetsoftware/,
